"","account_active_days","koen","permission_given_order","previous_subscriptions","previous_campaigns","previous_trials","newsletters_before_order","newsletters_after_order","age","aktivitet_midt_10","aktivitet_slut_10","aktivitet_start_10","avg_scroll_depth","forskellige_artikler","restricted_share","andet","debat","erhverv","indland","international","kultur","livsstil","politik","sport","udland","churn_binary"
"1",61,"Kvinde","TRUE",0,0,0,0,0,68,0,0,3,0.333333333333333,1,0.333333333333333,2,0,0,1,0,0,0,0,0,0,"No"
"2",377,"Mand","FALSE",0,0,0,0,0,48,0,0,17,0.338235294117647,10,0.294117647058823,7,0,6,2,2,0,0,0,0,0,"Yes"
"3",1346,"Mand","FALSE",6,1,2,3,3,67,23,16,26,0.278846153846154,36,0.358974358974359,40,7,1,10,8,3,1,3,5,0,"No"
"4",151,"Mand","FALSE",1,1,0,0,0,44,321,268,329,0.270327349524815,314,0.236536430834213,668,21,35,79,39,43,36,17,9,0,"No"
"5",243,"Kvinde","FALSE",1,0,1,0,0,77,35,44,40,0.46218487394958,74,0.302521008403361,42,8,6,15,36,2,7,3,0,0,"Yes"
"6",690,"Mand","TRUE",3,1,2,3,3,85,0,0,10,0.55,6,0.7,0,0,0,2,8,0,0,0,0,0,"Yes"
"7",545,"Kvinde","TRUE",4,1,1,0,0,53,137,118,160,0.310570071258907,225,0.306413301662708,222,16,17,34,36,34,30,11,21,0,"No"
"8",373,"Mand","FALSE",0,0,0,0,0,48,80,150,153,0.328320802005012,164,0.295739348370927,225,10,20,44,56,15,23,3,3,0,"Yes"
"9",284,"Mand","FALSE",1,1,1,0,0,67,10,7,2,0.467391304347826,17,0.478260869565217,11,2,0,5,5,0,0,0,0,0,"Yes"
"10",462,"Mand","FALSE",1,1,0,0,0,70,160,126,240,0.198729582577133,227,0.279491833030853,340,34,34,45,51,15,7,22,3,0,"No"
"11",80,"Kvinde","FALSE",0,0,0,0,0,23,0,0,5,0.6,1,0.2,2,0,0,3,0,0,0,0,0,0,"Yes"
"12",337,"Kvinde","TRUE",0,0,0,0,0,59,29,69,60,0.522151898734177,107,0.392405063291139,54,7,10,32,24,16,5,9,1,0,"Yes"
"13",480,"Mand","FALSE",13,7,7,2,2,68,6,14,11,0.46875,20,0.375,1,0,3,3,9,0,0,1,15,0,"Yes"
"14",376,"Mand","FALSE",0,0,0,0,0,53,117,112,68,0.223941368078176,97,0.276872964169381,154,16,22,24,61,20,1,5,4,0,"Yes"
"15",124,"Mand","FALSE",1,1,1,6,6,69,68,79,88,0.508438818565401,166,0.481012658227848,52,12,19,53,47,6,6,10,32,0,"No"
"16",275,"Mand","FALSE",0,0,0,0,0,27,0,7,48,0.186363636363636,12,0.109090909090909,33,1,11,8,0,1,0,0,1,0,"Yes"
"17",61,"Mand","FALSE",0,0,0,0,0,33,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,"No"
"18",95,"Mand","FALSE",0,0,0,0,0,49,0,3,7,0.425,6,0.5,5,0,0,4,0,0,1,0,0,0,"Yes"
"19",811,"Mand","FALSE",2,2,0,0,0,51,3,9,1,0.192307692307692,3,0.307692307692308,11,0,2,0,0,0,0,0,0,0,"Yes"
"20",899,"Mand","FALSE",5,2,3,3,3,55,55,51,35,0.296875,60,0.208333333333333,92,5,9,11,12,8,0,4,3,0,"Yes"
"21",306,"Mand","TRUE",0,0,0,0,0,57,9,6,20,0.423611111111111,26,0.388888888888889,11,2,1,8,6,7,1,0,0,0,"Yes"
"22",470,"Mand","TRUE",6,3,2,0,0,73,0,0,2,0.375,1,0.5,1,0,0,0,1,0,0,0,0,0,"No"
"23",159,"Kvinde","TRUE",2,2,1,0,0,54,4,5,12,0.583333333333333,19,0.666666666666667,4,0,5,7,1,2,1,1,0,0,"No"
"24",61,"Kvinde","FALSE",0,0,0,0,0,54,28,10,18,0.388392857142857,26,0.339285714285714,27,0,9,6,6,3,1,4,0,0,"No"
"25",372,"Mand","FALSE",0,0,0,4,5,58,139,135,216,0.262400793650794,191,0.236111111111111,344,15,27,37,43,10,14,10,4,0,"Yes"
"26",634,"Mand","TRUE",1,1,0,0,0,75,0,0,1,0.75,1,1,0,1,0,0,0,0,0,0,0,0,"Yes"
"27",619,"Mand","FALSE",3,2,0,0,0,59,1,0,6,0.321428571428571,4,0.142857142857143,2,0,0,3,2,0,0,0,0,0,"Yes"
"28",501,"Kvinde","FALSE",1,1,0,0,0,53,33,22,27,0.238235294117647,29,0.211764705882353,57,2,8,10,2,3,1,0,2,0,"Yes"
"29",1145,"Mand","TRUE",7,6,1,2,2,54,198,199,147,0.314864864864865,208,0.30990990990991,347,18,24,82,57,10,7,6,1,3,"Yes"
"30",153,"Kvinde","TRUE",0,0,0,0,0,67,2,1,37,0.3,12,0.125,20,14,1,3,2,0,0,0,0,0,"Yes"
"31",1091,"Mand","FALSE",11,6,4,1,1,68,66,31,63,0.260869565217391,71,0.29192546583851,100,4,8,23,16,3,1,5,0,1,"Yes"
"32",61,"Kvinde","FALSE",0,0,0,0,0,38,7,0,6,0.403846153846154,4,0.538461538461538,5,5,0,1,2,0,0,0,0,0,"No"
"33",275,"Kvinde","FALSE",0,0,0,0,0,58,37,18,45,0.470982142857143,68,0.428571428571429,54,3,6,11,17,10,8,3,0,0,"Yes"
"34",507,"Mand","FALSE",14,7,9,0,0,80,12,12,17,0.283333333333333,18,0.311111111111111,8,1,0,3,0,0,33,0,0,0,"No"
"35",61,"Kvinde","TRUE",0,0,0,0,0,60,31,5,7,0.209302325581395,13,0.209302325581395,20,5,1,3,2,0,8,4,0,0,"No"
"36",344,"Kvinde","FALSE",1,0,1,0,0,57,0,0,1,0.75,1,1,0,0,0,0,0,1,0,0,0,0,"Yes"
"37",427,"Mand","FALSE",4,2,2,0,0,62,2,12,3,0.588235294117647,11,0.352941176470588,10,0,2,2,1,1,0,1,0,0,"No"
"38",399,"Kvinde","TRUE",4,3,2,1,1,65,0,0,19,0.43421052631579,12,0.368421052631579,2,0,2,11,0,3,0,1,0,0,"No"
"39",122,"Kvinde","FALSE",0,0,0,1,1,63,13,0,6,0.513157894736842,14,0.631578947368421,1,0,1,7,9,0,1,0,0,0,"Yes"
"40",1523,"Kvinde","TRUE",9,3,5,5,5,52,100,84,100,0.215870307167236,82,0.194539249146758,198,2,17,30,13,8,7,13,5,0,"Yes"
"41",61,"Kvinde","FALSE",0,0,0,0,0,34,0,0,3,0.666666666666667,1,1,0,0,0,3,0,0,0,0,0,0,"No"
"42",378,"Mand","TRUE",1,1,0,0,2,69,13,20,19,0.343220338983051,25,0.305084745762712,40,0,9,5,2,0,0,3,0,0,"Yes"
"43",218,"Mand","FALSE",4,2,1,0,0,45,106,92,143,0.296511627906977,141,0.27906976744186,206,5,16,45,47,6,1,17,1,0,"No"
"44",245,"Mand","TRUE",0,0,0,0,0,65,19,25,40,0.564903846153846,72,0.423076923076923,26,7,7,8,37,2,1,3,13,0,"Yes"
"45",177,"Mand","FALSE",4,1,2,0,0,73,16,6,6,0.267857142857143,10,0.178571428571429,18,1,1,3,3,1,0,1,0,0,"No"
"46",153,"Kvinde","FALSE",0,0,0,0,0,41,1,1,2,0.8125,4,0.25,0,1,0,0,0,3,0,0,0,0,"No"
"47",61,"Kvinde","FALSE",0,0,0,0,0,31,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,"No"
"48",280,"Kvinde","TRUE",1,0,0,0,0,74,1,8,8,0.279411764705882,11,0.470588235294118,9,0,1,2,4,0,1,0,0,0,"Yes"
"49",798,"Mand","TRUE",7,4,3,0,0,67,0,0,18,0.333333333333333,10,0.5,10,1,3,3,1,0,0,0,0,0,"Yes"
"50",615,"Mand","FALSE",11,8,5,0,1,56,10,6,18,0.389705882352941,14,0.441176470588235,20,0,0,8,4,2,0,0,0,0,"Yes"
